Name,Year,Deal Type,Games Played,Record,Completion Percentage,Yards,Touchdowns,Interceptions,Touchdown Percentage,Interception Percentage,First Downs Passing,Adjusted Yards per Attempt,Yards per Completion,Yards per Game,QBR,Sack Percentage,Comebacks,Team,Year,Base Salary,Prorated Bonus,Roster Bonus,Cap Number,Cap Percentage,Cash Paid,Guaranteed Salary,Other Bonus,Workout Bonus,Per Game Roster Bonus
Joe Burrow,2020,Rookie Deal,10,2-7-1,65.3,2688,13,5,3.2,1.2,150.0,6.7,10.2,268.8,48.5,7.3,0.0,Bengals,2020,"$610,000","$5,970,025",$0,"$6,580,025",3.2%,"$24,490,100","$610,000",nan,nan,nan,3
Tua Tagovailoa,2020,Rookie Deal,9,6-3-0,64.1,1814,11,5,3.8,1.7,100.0,6.2,9.8,181.4,44.8,6.5,2.0,Dolphins,2020,"$610,000","$4,894,625",$0,"$5,504,625",2.5%,"$20,188,500",$0,nan,nan,nan,3
Justin Herbert,2020,Rookie Deal,15,6-9-0,66.6,4336,31,10,5.2,1.7,216.0,7.6,10.9,289.1,62.6,5.1,1.0,Chargers,2020,"$610,000","$4,222,501",$0,"$4,832,501",2.4%,"$17,500,004","$610,000",nan,nan,nan,3
Jalen Hurts,2020,Rookie Deal,4,1-3-0,52.0,1061,6,4,4.1,2.7,45.0,6.8,13.8,70.7,33.8,8.1,0.0,Eagles,2020,"$610,000","$485,486",nan,"$1,095,486",0.5%,"$2,551,944","$610,000",nan,$0,nan,3
Jake Luton,2020,Rookie Deal,3,0-3-0,54.5,624,2,6,1.8,5.5,31.0,3.6,10.4,208.0,32.8,6.0,0.0,Jaguars,2020,"$610,000","$45,439",nan,"$655,439",0.3%,"$791,756",nan,nan,nan,nan,0
Ben DiNucci,2020,Rookie Deal,1,0-1-0,53.5,219,0,0,0.0,0.0,11.0,5.1,9.5,73.0,10.2,14.0,0.0,Cowboys,2020,"$610,000","$23,787",nan,"$633,787",0.3%,"$705,148",nan,nan,nan,nan,0
Kyler Murray,2019,Rookie Deal,16,5-10-1,64.4,3722,20,12,3.7,2.2,173.0,6.6,10.7,232.6,57.7,8.1,1.0,Cardinals,2019,"$495,000","$5,897,481",$0,"$6,392,481",3.3%,"$24,084,924","$495,000",nan,nan,nan,3
Daniel Jones,2019,Rookie Deal,12,3-9-0,61.9,3027,24,12,5.2,2.6,140.0,6.5,10.7,232.8,55.7,7.6,1.0,Giants,2019,"$495,000","$4,171,192",nan,"$4,666,192",2.4%,"$17,179,768","$495,000",nan,nan,nan,0
Dwayne Haskins,2019,Rookie Deal,7,2-5-0,58.6,1365,7,7,3.4,3.4,65.0,5.9,11.5,151.7,28.0,12.5,1.0,Redskins,2019,"$495,000","$2,126,202",nan,"$2,621,202",1.4%,"$8,999,808","$495,000",nan,nan,nan,0
Drew Lock,2019,Rookie Deal,5,4-1-0,64.1,1020,7,3,4.5,1.9,54.0,6.6,10.2,204.0,50.2,3.1,1.0,Broncos,2019,"$495,000","$779,694",nan,"$1,274,694",0.7%,"$3,613,776","$495,000",nan,$0,nan,0
