Team,Contract Type,Status,Year Signed,Yrs,Total,APY,Guarantees,Amount Earned,Percent Earned,Effective APY,Name
Buccaneers,Drafted,Traded,1985,6,"$4,892,000","$815,333","$1,142,000","$1,692,000",34.6%,"$846,000",Steve Young
49ers,Drafted,Expired,1985,6,"$4,892,000","$815,333","$1,142,000","$3,200,000",65.4%,"$800,000",Steve Young
49ers,UFA,Expired,1991,2,"$4,480,000","$2,240,000",$0,"$4,480,000",100.0%,"$2,240,000",Steve Young
49ers,Franchise,Renegotiated,1993,5,"$25,250,000","$5,050,000","$2,500,000","$20,750,000",82.2%,"$5,187,500",Steve Young
49ers,Other,Renegotiated,1997,6,"$45,000,000","$7,500,000",$0,"$3,000,000",6.7%,"$3,000,000",Steve Young
49ers,Other,Renegotiated,1998,6,"$49,175,000","$8,195,833","$7,500,000","$16,250,000",33.0%,"$8,125,000",Steve Young
49ers,Other,Terminated,2000,5,"$43,025,000","$8,605,000",$0,$0,0.0%,$0,Steve Young
Broncos,Drafted,Renegotiated,1983,5,"$5,000,000","$1,000,000","$1,000,000","$4,000,000",80.0%,"$1,000,000",John Elway
Broncos,Extension,Renegotiated,1987,6,"$12,700,000","$2,116,667","$3,000,000","$11,700,000",92.1%,"$1,950,000",John Elway
Broncos,Extension,Renegotiated,1993,4,"$17,100,000","$5,700,000","$6,000,000","$16,100,000",94.2%,"$5,366,667",John Elway
Broncos,Extension,Terminated,1996,5,"$29,500,000","$5,900,000","$6,250,000","$15,645,000",53.0%,"$5,215,000",John Elway
Dolphins,Drafted,Renegotiated,1983,4,"$2,000,000","$500,000",$0,"$750,000",37.5%,"$250,000",Dan Marino
Dolphins,Extension,Renegotiated,1986,5,"$8,600,000","$1,720,000","$8,600,000","$8,250,000",95.9%,"$1,650,000",Dan Marino
Dolphins,Extension,Renegotiated,1991,5,"$20,450,000","$4,090,000","$15,915,000","$18,200,000",89.0%,"$3,640,000",Dan Marino
Dolphins,Extension,Renegotiated,1996,2,"$12,850,000","$6,425,000","$5,800,000","$17,300,000",134.6%,"$5,766,667",Dan Marino
