NAME,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW
Patrick Mahomes,78.1,70.9,710,138.1,116.1,19.1,-9.4,2.9,80.4
Josh Allen,76.6,63.2,729,128.6,112.1,13,-11,3.5,77.3
Aaron Rodgers,79.8,64.4,608,113.1,98.4,9.3,-7,5.4,81.7
Russell Wilson,67.1,32.7,716,102.9,88.6,9.1,-20.7,5.1,65.6
Justin Herbert,62.6,36.4,699,102.3,94.9,3.7,-13.3,3.7,67.6
Kyler Murray,61.9,24.7,763,99.9,64.5,32.3,-11.8,3.1,61.3
Deshaun Watson,63.7,31.9,715,99.6,85.9,12,-19.5,1.7,65.3
Ryan Tannehill,72.6,43.9,594,95.3,68.2,22.1,-11.2,5,74
Tom Brady,66,34.3,681,94.7,90.4,-3.1,-8.6,7.3,67.1
Derek Carr,64.3,28.8,609,91.1,76.1,7.4,-10.7,7.6,66.2
Matt Ryan,59.8,23.6,731,90.1,80.6,4.7,-17.4,4.9,61.2
Baker Mayfield,65.5,26.1,597,83.6,76.9,3.3,-10.6,3.4,65
Lamar Jackson,67.3,31.9,585,82.9,50.9,30.8,-8.9,1.2,68.4
Matthew Stafford,61.3,20.7,626,77.3,64.7,9,-14.1,3.7,61.5
Kirk Cousins,55.8,15.7,629,76.9,67.6,6.4,-18.2,2.9,58.7
Ben Roethlisberger,52.5,6.4,677,76,71.6,-5.1,-6.4,9.4,53.3
Philip Rivers,55,13.7,600,73.4,68.1,-0.1,-8.2,5.5,58
Teddy Bridgewater,56.8,12,607,71.7,54.8,12.3,-12.6,4.6,57
Drew Brees,68.3,27.1,428,66.2,62.5,1,-6.2,2.8,71
Jared Goff,50.8,-1.6,650,64,56.8,2.8,-11,4.4,49.2
Daniel Jones,54,-1,586,57.6,42.7,10,-16.9,4.8,49.4
Ryan Fitzpatrick,70.9,22.5,324,49.9,41.6,5.6,-5.1,2.7,72.8
Joe Burrow,48.5,-4.6,510,47.8,46.9,-0.5,-13.3,1.5,46.8
Drew Lock,41.2,-5.1,523,44.8,35.9,5.5,-7.8,3.4,46.6
Cam Newton,39.4,-14.1,538,42.9,28.2,14.1,-13.7,0.7,40.9
Mitchell Trubisky,53.8,7.6,376,41,32.3,7.2,-7.5,1.5,57.1
Carson Wentz,41.9,-21.6,581,39.4,21.5,10.8,-21.8,7.1,37.1
Tua Tagovailoa,44.8,-2.1,362,32.4,24.6,6.6,-8.9,1.3,47.9
Gardner Minshew,44,-2,403,31.9,24.9,5.1,-12.3,1.9,48.2
Andy Dalton,46.1,-8.9,409,30.9,26.2,2.5,-12.1,2.2,42.3
Sam Darnold,32.9,-22.6,455,24.3,8.7,12.8,-15.5,2.7,33.1
Nick Foles,36,-14.6,359,22.3,21.2,-1.7,-8.7,2.7,36
Nick Mullens,36.3,-21,379,17.2,16.1,-0.2,-8.6,1.4,31.3
Dak Prescott,71.9,48.1,690,93.1,70.7,10,-9.7,2.6,72.8
Alex Smith,46.9,1.6,422,35,17.8,5.5,-8.8,2.9,51.4
Jalen Hurts,48,-0.4,514,49.8,21.9,26.3,-8.7,1.6,49.7
Jimmy Garoppolo,58.5,8.8,338,41.9,39.7,0,-6.7,2.2,59.1
Taylor Heinicke,48.8,1.3,454,49,39.1,7.1,-8.6,2.8,51
