"Contract Terms: 4 yr(s) / $35,658,014","Signing Bonus $23,589,924","Average Salary$8,914,504","GTD at Sign:$35,658,014","Total GTD:$35,658,014",Free Agent:2024 / UFA
"Contract Terms: 5 yr(s) / $150,000,000","Signing Bonus $46,500,000","Average Salary$30,000,000","GTD at Sign:$94,500,000","Total GTD:$100,000,000",Free Agent:2024 / UFA
"Contract Terms: 4 yr(s) / $9,471,648","Signing Bonus $4,968,471","Average Salary$2,367,912","GTD at Sign:$7,575,059","Total GTD:$7,575,059",Free Agent:2023 / UFA
"Contract Terms: 1 yr(s) / $2,500,000","Signing Bonus $500,000","Average Salary$2,500,000","GTD at Sign:$2,000,000","Total GTD:$2,000,000",Free Agent:2022 / UFA
"Contract Terms: 4 yr(s) / $30,247,715","Signing Bonus $20,078,338","Average Salary$7,561,929","GTD at Sign:$30,247,715","Total GTD:$30,247,715",Free Agent:2023 / UFA
"Contract Terms: 1 yr(s) / $4,437,000",Signing Bonus -,"Average Salary$4,437,000","GTD at Sign:$4,250,000","Total GTD:$4,250,000",Free Agent:2022 / UFA
"Contract Terms: 1 yr(s) / $10,000,000","Signing Bonus $7,000,000","Average Salary$10,000,000","GTD at Sign:$10,000,000","Total GTD:$10,000,000",Free Agent:2022 / UFA
"Contract Terms: 4 yr(s) / $32,682,980","Signing Bonus $21,849,440","Average Salary$8,170,745","GTD at Sign:$32,682,980","Total GTD:$32,682,980",Free Agent:2023 / UFA
"Contract Terms: 4 yr(s) / $160,000,000","Signing Bonus $66,000,000","Average Salary$40,000,000","GTD at Sign:$95,000,000","Total GTD:$126,000,000",Free Agent:2025 / UFA
"Contract Terms: 1 yr(s) / $4,437,000",Signing Bonus -,"Average Salary$4,437,000","GTD at Sign:$4,250,000","Total GTD:$4,250,000",Free Agent:2022 / UFA
"Contract Terms: 4 yr(s) / $7,010,817","Signing Bonus $3,118,776","Average Salary$1,752,704","GTD at Sign:$3,932,450","Total GTD:$3,932,450",Free Agent:2023 / UFA
"Contract Terms: 4 yr(s) / $134,000,000","Signing Bonus $25,000,000","Average Salary$33,500,000","GTD at Sign:$57,042,682","Total GTD:$110,042,682",Free Agent:2025 / UFA
"Contract Terms: 5 yr(s) / $135,000,000","Signing Bonus $50,000,000","Average Salary$27,000,000","GTD at Sign:$60,500,000","Total GTD:$92,000,000",Free Agent:2023 / UFA
"Contract Terms: 4 yr(s) / $128,000,000","Signing Bonus $16,367,683","Average Salary$32,000,000","GTD at Sign:$66,470,683","Total GTD:$107,970,683",Free Agent:2025 / UFA
"Contract Terms: 4 yr(s) / $2,710,884","Signing Bonus $190,884","Average Salary$677,721","GTD at Sign:$190,884","Total GTD:$190,884",Free Agent:2023 / UFA
"Contract Terms: 10 yr(s) / $450,000,000","Signing Bonus $10,000,000","Average Salary$45,000,000","GTD at Sign:$63,081,905","Total GTD:$141,481,905",Free Agent:2032 / UFA
"Contract Terms: 5 yr(s) / $125,000,000","Signing Bonus $12,500,000","Average Salary$25,000,000","GTD at Sign:$40,000,000","Total GTD:$70,200,000",Free Agent:2023 / UFA
"Contract Terms: 5 yr(s) / $135,000,000","Signing Bonus $50,000,000","Average Salary$27,000,000","GTD at Sign:$60,500,000","Total GTD:$92,000,000",Free Agent:2023 / UFA
"Contract Terms: 4 yr(s) / $134,000,000","Signing Bonus $25,000,000","Average Salary$33,500,000","GTD at Sign:$57,042,682","Total GTD:$110,042,682",Free Agent:2025 / UFA
"Contract Terms: 4 yr(s) / $30,275,438","Signing Bonus $19,578,500","Average Salary$7,568,860","GTD at Sign:$30,275,438","Total GTD:$30,275,438",Free Agent:2025 / UFA
"Contract Terms: 2 yr(s) / $66,000,000","Signing Bonus $30,000,000","Average Salary$33,000,000","GTD at Sign:$31,000,000","Total GTD:$66,000,000",Free Agent:2023 / UFA
"Contract Terms: 4 yr(s) / $15,586,352","Signing Bonus $8,695,528","Average Salary$3,896,588","GTD at Sign:$15,586,352","Total GTD:$15,586,352",Free Agent:2026 / UFA
2021,,"$1,500,000","$2,000,000","$100,000","$3,600,000","$3,600,000($3,600,000)"
""
"Contract Terms: 4 yr(s) / $25,664,056","Signing Bonus $16,684,768","Average Salary$6,416,014","GTD at Sign:$25,664,056","Total GTD:$25,664,056",Free Agent:2024 / UFA
"Contract Terms: 4 yr(s) / $6,025,171","Signing Bonus $1,941,944","Average Salary$1,506,293","GTD at Sign:$2,825,815","Total GTD:$2,825,815",Free Agent:2024 / UFA
"Contract Terms: 4 yr(s) / $2,710,884","Signing Bonus $190,884","Average Salary$677,721","GTD at Sign:$190,884","Total GTD:$190,884",Free Agent:2023 / UFA
"Contract Terms: 4 yr(s) / $128,000,000","Signing Bonus $16,367,683","Average Salary$32,000,000","GTD at Sign:$66,470,683","Total GTD:$107,970,683",Free Agent:2025 / UFA
"Contract Terms: 1 yr(s) / $14,000,000","Signing Bonus $12,925,000","Average Salary$14,000,000","GTD at Sign:$12,925,000","Total GTD:$12,925,000",Free Agent:2022 / UFA
"Contract Terms: 5 yr(s) / $137,500,000","Signing Bonus $7,000,000","Average Salary$27,500,000","GTD at Sign:$41,700,000","Total GTD:$74,100,000",Free Agent:2023 / UFA
"Contract Terms: 4 yr(s) / $140,000,000","Signing Bonus $65,000,000","Average Salary$35,000,000","GTD at Sign:$70,000,000","Total GTD:$107,000,000",Free Agent:2024 / UFA
"Contract Terms: 1 yr(s) / $25,000,000","Signing Bonus $20,000,000","Average Salary$25,000,000","GTD at Sign:$25,000,000","Total GTD:$25,000,000",Free Agent:2023 / UFA
"Contract Terms: 4 yr(s) / $118,000,000","Signing Bonus $20,000,000","Average Salary$29,500,000","GTD at Sign:$62,000,000","Total GTD:$91,000,000",Free Agent:2024 / UFA
"Contract Terms: 2 yr(s) / $4,750,000","Signing Bonus $1,000,000","Average Salary$2,375,000","GTD at Sign:$1,500,000","Total GTD:$1,500,000",Free Agent:2023 / UFA
"Contract Terms: 1 yr(s) / $10,000,000","Signing Bonus $6,000,000","Average Salary$10,000,000","GTD at Sign:$6,000,000","Total GTD:$6,000,000",Free Agent:2022 / UFA
2021,,-,"$8,200,000",-,"$8,200,000",-($0)
""
